,place_id,name,address,featured_image,reviews,main_category,categories,rating,reviews_per_rating,coordinates,most_popular_times
325,ChIJ8Z71JPHzaS4R83iHcrp_eRw,Chill Bar And Lounge,"Jl. H. R. Rasuna Said No.22, RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",https://lh5.googleusercontent.com/p/AF1QipMMBprU9utodLnKKLHqU4m65OYB-L4_Ls853s55=w426-h240-k-no,20,Bar,"[""Bar"", ""Bar & Grill"", ""Lounge""]",4.7,"{""1"": 0, ""2"": 0, ""3"": 1, ""4"": 5, ""5"": 14}","{""latitude"": -6.2229721, ""longitude"": 106.8331451}","[{""hour_of_day"": 15, ""average_popularity"": 36.0, ""time_label"": ""15.00""}, {""hour_of_day"": 14, ""average_popularity"": 31.0, ""time_label"": ""14.00""}, {""hour_of_day"": 16, ""average_popularity"": 29.571428571428573, ""time_label"": ""16.00""}]"
326,ChIJQ2lsugj3aS4R0Gc48AxvwGU,Coco Dose - Kemanggisan,"Jl. Kyai H. Syahdan No.36C, RT.6/RW.12, Kemanggisan, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",https://lh5.googleusercontent.com/p/AF1QipOx9ZSFofECE3vHY7OVjoKd9bHcmYCEwE_7p7P9=w426-h240-k-no,19,Distributor minuman,"[""Distributor minuman"", ""Toko Bubble Tea""]",5.0,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 19}","{""latitude"": -6.200751299999999, ""longitude"": 106.7836588}",Not Present
327,ChIJC60BXoP3aS4RIMQnwxz1ycY,Sego Pithek & ESPE Coffee,"Jl. H. Merin No.9, RT.9/RW.4, Meruya Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11650",https://lh5.googleusercontent.com/p/AF1QipMk_L7fEmg6EUjhiw_ToZWWGecqWVkzTGz44rt4=w408-h306-k-no,19,Restoran,"[""Restoran"", ""Kafe"", ""Kedai Kopi""]",4.7,"{""1"": 0, ""2"": 0, ""3"": 2, ""4"": 1, ""5"": 16}","{""latitude"": -6.2065627999999995, ""longitude"": 106.7371931}",Not Present
328,ChIJJdtTWBL1aS4RKavLAzIdfMM,Summer Minibar - Setia Budi,"Jl. Setia Budi Timur 1 No.6-4, RT.2/RW.1, Kuningan, Setia Budi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12910",https://lh5.googleusercontent.com/p/AF1QipO_xjQEHRrmM2l0-M9SXMgkWUQyuMD8OPjNTcNf=w408-h544-k-no,19,Restoran Makanan Sehat,"[""Restoran Makanan Sehat""]",3.7,"{""1"": 3, ""2"": 1, ""3"": 3, ""4"": 3, ""5"": 9}","{""latitude"": -6.2089463, ""longitude"": 106.8274588}","[{""hour_of_day"": 17, ""average_popularity"": 32.285714285714285, ""time_label"": ""17.00""}, {""hour_of_day"": 16, ""average_popularity"": 30.0, ""time_label"": ""16.00""}, {""hour_of_day"": 12, ""average_popularity"": 29.0, ""time_label"": ""12.00""}]"
329,ChIJtfXlkS3zaS4RC2pt6l8h-cA,Baradeat.co,"Jl. Mampang Prapatan II No.32 4, RT.11/RW.3, Mampang Prpt., Kec.Mampang Prapatn, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790",https://lh5.googleusercontent.com/p/AF1QipMID3R4eKds7dVRMsTvwYS8QlKMm5Jip7c8KtNH=w408-h853-k-no,18,Kedai Kopi,"[""Kedai Kopi""]",4.6,"{""1"": 1, ""2"": 0, ""3"": 2, ""4"": 0, ""5"": 15}","{""latitude"": -6.2437919, ""longitude"": 106.82732179999999}","[{""hour_of_day"": 23, ""average_popularity"": 44.285714285714285, ""time_label"": ""23.00""}, {""hour_of_day"": 22, ""average_popularity"": 38.57142857142857, ""time_label"": ""22.00""}, {""hour_of_day"": 16, ""average_popularity"": 35.714285714285715, ""time_label"": ""16.00""}]"
330,ChIJORUb0ArzaS4Rtlg3HyR9Eqw,Citrusy Coffee Mampang,"Jl. Kapten Tendean No.42D, RT.2/RW.9, Pela Mampang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12720",https://lh5.googleusercontent.com/p/AF1QipPJLJkjsqzCX7BV5-wZY8YzDiXE2nE1cXo66Z9A=w408-h510-k-no,18,Kedai Kopi,"[""Kedai Kopi""]",4.9,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 1, ""5"": 17}","{""latitude"": -6.2407458, ""longitude"": 106.8209608}","[{""hour_of_day"": 12, ""average_popularity"": 55.666666666666664, ""time_label"": ""12.00""}, {""hour_of_day"": 13, ""average_popularity"": 50.333333333333336, ""time_label"": ""13.00""}, {""hour_of_day"": 11, ""average_popularity"": 41.833333333333336, ""time_label"": ""11.00""}]"
331,ChIJS1WNDir1aS4RreaoobXoJKQ,Warmindo Cafe Natural,"Jl. Kayu Manis VIII No.52, RT.13/RW.8, Kayu Manis, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13130",https://lh5.googleusercontent.com/p/AF1QipPpTUYtKPBP7QGW50YSKws7PMinCgLjibBrRZZN=w408-h306-k-no,18,Kedai Kopi,"[""Kedai Kopi"", ""Restoran Makanan Sehat""]",5.0,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 18}","{""latitude"": -6.2064103, ""longitude"": 106.8643231}","[{""hour_of_day"": 21, ""average_popularity"": 60.666666666666664, ""time_label"": ""21.00""}, {""hour_of_day"": 22, ""average_popularity"": 58.0, ""time_label"": ""22.00""}, {""hour_of_day"": 20, ""average_popularity"": 56.666666666666664, ""time_label"": ""20.00""}]"
332,ChIJXZhlzyPtaS4RwyqBuABOFZk,Callysta Coffee Cijantung,"Jl. H. Hasan I No.56 1, RT.1/RW.9, Baru, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13780",https://lh5.googleusercontent.com/p/AF1QipNWRWgGvm5O9WuRW94lmE4fzR3D-Thf06XtuJNM=w426-h240-k-no,17,Kafe,"[""Kafe""]",4.9,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 1, ""5"": 16}","{""latitude"": -6.3225392, ""longitude"": 106.8490982}",Not Present
333,ChIJw8B9_m3zaS4RrjKBl7mD9zE,GDR Jakarta,"Jl. Tebet Timur Dalam Raya No.153, Tebet Tim., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820",https://lh5.googleusercontent.com/p/AF1QipOOqCyrfsD_J-LH47J8R80YKL8sQD41C1fOVfae=w408-h306-k-no,17,Bar,"[""Bar"", ""Grosir minuman beralkohol"", ""Restoran"", ""Toko Minuman Anggur""]",4.6,"{""1"": 1, ""2"": 0, ""3"": 0, ""4"": 2, ""5"": 14}","{""latitude"": -6.2406036, ""longitude"": 106.8542959}","[{""hour_of_day"": 23, ""average_popularity"": 58.714285714285715, ""time_label"": ""23.00""}, {""hour_of_day"": 22, ""average_popularity"": 54.714285714285715, ""time_label"": ""22.00""}, {""hour_of_day"": 0, ""average_popularity"": 47.666666666666664, ""time_label"": ""00.00""}]"
334,ChIJ3TbkFnLzaS4R-2HfqrqcLZU,Bean Think Coffee,"Jl. Raya Kalibata No.6, RT.6/RW.7, Duren Tiga, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12760",https://lh5.googleusercontent.com/p/AF1QipNEO4A7iADFhGK-3TLOJbjNqvnrPocRLarHAPM=w426-h240-k-no,16,Kedai Kopi,"[""Kedai Kopi""]",4.9,"{""1"": 0, ""2"": 0, ""3"": 1, ""4"": 0, ""5"": 15}","{""latitude"": -6.2552349, ""longitude"": 106.8479878}","[{""hour_of_day"": 20, ""average_popularity"": 61.142857142857146, ""time_label"": ""20.00""}, {""hour_of_day"": 21, ""average_popularity"": 56.142857142857146, ""time_label"": ""21.00""}, {""hour_of_day"": 22, ""average_popularity"": 49.714285714285715, ""time_label"": ""22.00""}]"
335,ChIJewd2fkz1aS4Rr_Qf-3O-9YI,Dimsum Bro,"Jl. Pisangan Baru Tengah No.301, RT.2/RW.14, Pisangan Baru, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13110",https://lh5.googleusercontent.com/p/AF1QipN6QY3tQxO-dzXInazf6kers3ktlHn0GAMBizZ7=w427-h240-k-no,16,Restoran Dim Sum,"[""Restoran Dim Sum"", ""Kafe""]",4.8,"{""1"": 1, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 15}","{""latitude"": -6.2111890999999995, ""longitude"": 106.87062189999999}","[{""hour_of_day"": 20, ""average_popularity"": 71.14285714285714, ""time_label"": ""20.00""}, {""hour_of_day"": 19, ""average_popularity"": 63.714285714285715, ""time_label"": ""19.00""}, {""hour_of_day"": 21, ""average_popularity"": 60.714285714285715, ""time_label"": ""21.00""}]"
336,ChIJwxWraTD3aS4RM63FfHoO294,KOPI KOCCOK PALMERAH,"Jl. Kyai H. Taisir No.4, RT.4/RW.11, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",https://lh5.googleusercontent.com/p/AF1QipPwoRr4-uW8OOpwt6k2LiKkHpJAtT5_hSQovPwN=w408-h306-k-no,16,Kedai Kopi,"[""Kedai Kopi""]",4.7,"{""1"": 1, ""2"": 0, ""3"": 0, ""4"": 1, ""5"": 14}","{""latitude"": -6.1995398999999995, ""longitude"": 106.78770259999999}","[{""hour_of_day"": 22, ""average_popularity"": 51.857142857142854, ""time_label"": ""22.00""}, {""hour_of_day"": 21, ""average_popularity"": 43.285714285714285, ""time_label"": ""21.00""}, {""hour_of_day"": 20, ""average_popularity"": 42.285714285714285, ""time_label"": ""20.00""}]"
