,place_id,name,address,featured_image,reviews,main_category,categories,rating,reviews_per_rating,coordinates,most_popular_times
4041,ChIJidM3IDFIaC4RhmqRQ51_tNs,Miss Potatoes & Go-Juu-Ni-Shusi,"L2 , Yogya Sukabumi , JL. Re. Martadinata, Gunung Parang , Cikole , 43111 Sukabumi , Jawa Barat, Gunungparang, Cikole, Sukabumi City, West Java 43111",https://lh5.googleusercontent.com/p/AF1QipOSVEnHwqvrxckgQ9kEmA0sRU-U1jSe3FLnKo5z=w408-h544-k-no,18,Kafe,"[""Kafe""]",4.4,"{""1"": 0, ""2"": 0, ""3"": 4, ""4"": 3, ""5"": 11}","{""latitude"": -6.9201948, ""longitude"": 106.9285501}","[{""hour_of_day"": 16, ""average_popularity"": 52.285714285714285, ""time_label"": ""16.00""}, {""hour_of_day"": 15, ""average_popularity"": 43.57142857142857, ""time_label"": ""15.00""}, {""hour_of_day"": 17, ""average_popularity"": 41.42857142857143, ""time_label"": ""17.00""}]"
4042,ChIJpw-5VpdJaC4R8rF4cFv7cZQ,Rumah Bajigur Sukabumi,"Jl. Saniin No.24, Benteng, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43132",https://lh5.googleusercontent.com/p/AF1QipPpcZBrZauU8mGZY0Har5J4Sc20U_urkSuD0JyF=w408-h408-k-no,18,Kafe,"[""Kafe""]",4.5,"{""1"": 1, ""2"": 0, ""3"": 1, ""4"": 3, ""5"": 13}","{""latitude"": -6.9225185, ""longitude"": 106.92069819999999}",Not Present
4043,ChIJSZngpIFJaC4R7ZgXehdNd0o,Tea Two Sukabumi,"Jl. Bhineka Karya No.34, Karamat, Kec. Gunungpuyuh, Kota Sukabumi, Jawa Barat",https://lh5.googleusercontent.com/p/AF1QipPWRZPvyltsgGSyA7KixyOVrp6dDCxx9DhTn6aE=w408-h725-k-no,18,Kedai Kopi,"[""Kedai Kopi""]",5.0,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 18}","{""latitude"": -6.903056599999999, ""longitude"": 106.9211206}",Not Present
4044,ChIJY7PJ1NoPaS4RgyGG04fdZoc,WARUNG MAMAH OSHOO,"Jl. Kapten Halim No.62, RT.31/RW.7, Nagri Kidul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",https://lh5.googleusercontent.com/p/AF1QipO3Q8DjdE63xI06wC1NHbLqN1l9qNxKXtlEmUUc=w408-h306-k-no,18,Kedai Kopi,"[""Kedai Kopi"", ""Tempat Acara""]",4.4,"{""1"": 2, ""2"": 0, ""3"": 1, ""4"": 0, ""5"": 15}","{""latitude"": -6.569048899999999, ""longitude"": 107.46050179999999}","[{""hour_of_day"": 20, ""average_popularity"": 53.57142857142857, ""time_label"": ""20.00""}, {""hour_of_day"": 21, ""average_popularity"": 52.857142857142854, ""time_label"": ""21.00""}, {""hour_of_day"": 22, ""average_popularity"": 51.285714285714285, ""time_label"": ""22.00""}]"
4045,ChIJGSg3LnYPaS4RQ5NtLNldO4I,d'SRUPUT Pramuka,"CCRH+6W8, Jl. Pramuka, Bunder, Kec. Jatiluhur, Kabupaten Purwakarta, Jawa Barat 41161",https://lh5.googleusercontent.com/p/AF1QipN-CFSBrQ5qHqxAZEPGJmHrVgwb72SsZ7GKLnUE=w506-h240-k-no,18,Kafe,"[""Kafe""]",4.2,"{""1"": 1, ""2"": 0, ""3"": 3, ""4"": 4, ""5"": 10}","{""latitude"": -6.5594569, ""longitude"": 107.42981789999999}","[{""hour_of_day"": 9, ""average_popularity"": 35.42857142857143, ""time_label"": ""09.00""}, {""hour_of_day"": 16, ""average_popularity"": 34.285714285714285, ""time_label"": ""16.00""}, {""hour_of_day"": 18, ""average_popularity"": 33.0, ""time_label"": ""18.00""}]"
4046,ChIJb7QVHqVpaS4Rhi6VDk3JZMw,Hang Out,"Gg. 5, Ciasem Girang, Kec. Ciasem, Kabupaten Subang, Jawa Barat 41256",https://lh5.googleusercontent.com/p/AF1QipMZwCCijkePz3Ysvu5MXqS497ozq3qgpsbe1SoI=w437-h240-k-no,17,Kedai Kopi,"[""Kedai Kopi""]",5.0,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 17}","{""latitude"": -6.3351324, ""longitude"": 107.66782979999999}","[{""hour_of_day"": 11, ""average_popularity"": 61.42857142857143, ""time_label"": ""11.00""}, {""hour_of_day"": 12, ""average_popularity"": 60.0, ""time_label"": ""12.00""}, {""hour_of_day"": 13, ""average_popularity"": 57.142857142857146, ""time_label"": ""13.00""}]"
4047,ChIJy4XlrI-MaS4R5maR8Fo8-kc,Rumah Makan Uni Jus,"Jl. Bintara No.02, RT.011/RW.002, Bintara, Kec. Bekasi Bar., Kota Bks, Jawa Barat 17134",https://lh5.googleusercontent.com/p/AF1QipPgYLjeC0y-EMpT3dx9WdM4RdzSfaGs9ZFZvEU=w408-h544-k-no,17,Kedai Jus,"[""Kedai Jus"", ""Restoran""]",4.6,"{""1"": 1, ""2"": 0, ""3"": 0, ""4"": 2, ""5"": 14}","{""latitude"": -6.2261109999999995, ""longitude"": 106.95029099999999}","[{""hour_of_day"": 20, ""average_popularity"": 40.714285714285715, ""time_label"": ""20.00""}, {""hour_of_day"": 14, ""average_popularity"": 35.42857142857143, ""time_label"": ""14.00""}, {""hour_of_day"": 21, ""average_popularity"": 32.57142857142857, ""time_label"": ""21.00""}]"
4048,ChIJ2Vxa--9JaC4Ring9Qfi0yAU,Surken 99,"Jl. Surya Kencana No.99, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114",https://lh5.googleusercontent.com/p/AF1QipOLoBSbp95L7UjltYRGAnQHEo2WsEHkt6cVOPgs=w426-h240-k-no,17,Kedai Kopi,"[""Kedai Kopi""]",4.7,"{""1"": 0, ""2"": 0, ""3"": 1, ""4"": 3, ""5"": 13}","{""latitude"": -6.911426199999999, ""longitude"": 106.93406929999999}","[{""hour_of_day"": 18, ""average_popularity"": 74.28571428571429, ""time_label"": ""18.00""}, {""hour_of_day"": 19, ""average_popularity"": 71.42857142857143, ""time_label"": ""19.00""}, {""hour_of_day"": 17, ""average_popularity"": 66.42857142857143, ""time_label"": ""17.00""}]"
4049,ChIJgQIB4mSYZS4R_3vUKKYWz60,Warung Emih Oton,"Jl. Pantai Barat No.17, Pangandaran, Kec. Pangandaran, Kab. Pangandaran, Jawa Barat 46396",https://lh5.googleusercontent.com/p/AF1QipNmWC-1Z4EkKNceT5qVxEr0aqv1rnnkFZeg3Vtf=w408-h306-k-no,17,Kafe,"[""Kafe""]",4.0,"{""1"": 1, ""2"": 0, ""3"": 4, ""4"": 5, ""5"": 7}","{""latitude"": -7.6997447999999995, ""longitude"": 108.6561718}","[{""hour_of_day"": 14, ""average_popularity"": 34.57142857142857, ""time_label"": ""14.00""}, {""hour_of_day"": 21, ""average_popularity"": 34.57142857142857, ""time_label"": ""21.00""}, {""hour_of_day"": 22, ""average_popularity"": 31.571428571428573, ""time_label"": ""22.00""}]"
4050,ChIJl4IfNVfFaC4RwnaLVawxksM,Xi Bo Ba Jatos Mall,"Jl. Raya Jatinangor No.150, Cikeruh, Kec. Jatinangor, Kabupaten Sumedang, Jawa Barat 45363",https://lh5.googleusercontent.com/p/AF1QipN0TIqcChJNyf9b_9RruEcPZm97Tnz0lqx5HDoW=w408-h509-k-no,17,Kafe,"[""Kafe""]",4.6,"{""1"": 0, ""2"": 1, ""3"": 0, ""4"": 3, ""5"": 13}","{""latitude"": -6.9340931999999995, ""longitude"": 107.77121319999999}",Not Present
