,place_id,name,address,featured_image,reviews,main_category,categories,rating,reviews_per_rating,coordinates,most_popular_times
1986,ChIJAYh-JU4Zei4RFn0-jGbg_fo,Omah Ingkung Resto & Kopi Karanganyar,"Jl. Lawu, Cangakan Barat, Cangakan, Kec. Karanganyar, Kabupaten Karanganyar, Jawa Tengah 57712",https://lh5.googleusercontent.com/p/AF1QipMytX9feU3PnczQ_GPg5nqojbqThOSpXRnU_YNE=w408-h543-k-no,462,Restoran Jawa,"[""Restoran Jawa""]",4.4,"{""1"": 23, ""2"": 9, ""3"": 21, ""4"": 96, ""5"": 313}","{""latitude"": -7.592578499999999, ""longitude"": 110.9375979}","[{""hour_of_day"": 18, ""average_popularity"": 73.14285714285714, ""time_label"": ""18.00""}, {""hour_of_day"": 19, ""average_popularity"": 71.14285714285714, ""time_label"": ""19.00""}, {""hour_of_day"": 17, ""average_popularity"": 60.857142857142854, ""time_label"": ""17.00""}]"
1987,ChIJWbeM5czBei4RIAL1_rM1LM0,Kuliner Kutoarjo,"7WJ8+G35, Kutoarjo, Kec. Kutoarjo, Kabupaten Purworejo, Jawa Tengah 54251",https://lh5.googleusercontent.com/p/AF1QipO7VZOQGMJYOCg7_ildnV2A95lXIdh3TPZTPHsD=w480-h240-k-no,458,Pujasera,"[""Pujasera""]",4.5,"{""1"": 2, ""2"": 6, ""3"": 47, ""4"": 99, ""5"": 304}","{""latitude"": -7.718741199999999, ""longitude"": 109.91522619999999}","[{""hour_of_day"": 19, ""average_popularity"": 77.28571428571429, ""time_label"": ""19.00""}, {""hour_of_day"": 18, ""average_popularity"": 76.42857142857143, ""time_label"": ""18.00""}, {""hour_of_day"": 17, ""average_popularity"": 74.42857142857143, ""time_label"": ""17.00""}]"
1988,ChIJNz5zVyIfcS4RA5Fi2AuZjUw,Eat & Meet Restaurant Jepara,"Jl. Lucca No.1, RT.08/RW03, Rw. III, Bandengan, Kec. Jepara, Kabupaten Jepara, Jawa Tengah 59432",https://lh5.googleusercontent.com/p/AF1QipMH346aWw-aD2aiL_ieP9d6YYJXo31rzkcKeBC4=w408-h612-k-no,438,Restoran,"[""Restoran""]",4.6,"{""1"": 9, ""2"": 4, ""3"": 26, ""4"": 75, ""5"": 324}","{""latitude"": -6.5641596, ""longitude"": 110.660153}","[{""hour_of_day"": 17, ""average_popularity"": 69.42857142857143, ""time_label"": ""17.00""}, {""hour_of_day"": 19, ""average_popularity"": 69.28571428571429, ""time_label"": ""19.00""}, {""hour_of_day"": 21, ""average_popularity"": 69.14285714285714, ""time_label"": ""21.00""}]"
1989,ChIJkXQhcewXei4RrBKb9bpq_Po,La Java X Lekker Story,"Merak Raya No.blok D12, Dusun 1, Langenharjo, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552",https://lh5.googleusercontent.com/p/AF1QipMGeEaxaHQOB8EQe5WaXIXWCPX97Qf3G8fYkf0y=w408-h544-k-no,436,Kafe,"[""Kafe""]",4.6,"{""1"": 9, ""2"": 1, ""3"": 21, ""4"": 90, ""5"": 315}","{""latitude"": -7.6071124999999995, ""longitude"": 110.81225479999999}","[{""hour_of_day"": 19, ""average_popularity"": 74.28571428571429, ""time_label"": ""19.00""}, {""hour_of_day"": 20, ""average_popularity"": 69.42857142857143, ""time_label"": ""20.00""}, {""hour_of_day"": 18, ""average_popularity"": 65.28571428571429, ""time_label"": ""18.00""}]"
1991,ChIJzffeg-yNei4RtvDJ0abbycc,Nalendro Cafe Borobudur,"Jl. Borobudur - Ngadiharjo, Dusun XX, Borobudur, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah 56553",https://lh5.googleusercontent.com/p/AF1QipM3GcY7AtHxzRyYRSLkTeu3ZJ-UNGtk-_N1W9as=w426-h240-k-no,419,Kafe seni,"[""Kafe seni"", ""Taman"", ""Hotel"", ""Spa"", ""Taman Spa"", ""Vila""]",4.4,"{""1"": 19, ""2"": 12, ""3"": 28, ""4"": 90, ""5"": 270}","{""latitude"": -7.6115331, ""longitude"": 110.1950012}","[{""hour_of_day"": 19, ""average_popularity"": 45.285714285714285, ""time_label"": ""19.00""}, {""hour_of_day"": 18, ""average_popularity"": 43.857142857142854, ""time_label"": ""18.00""}, {""hour_of_day"": 20, ""average_popularity"": 40.285714285714285, ""time_label"": ""20.00""}]"
1992,ChIJXbYB4eY_ei4Rrk7QHqq69xg,Kudu Geprek!! Kudu Ngopi,"Jl. Elang, Dusun IV, Langenharjo, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552",https://lh5.googleusercontent.com/p/AF1QipOSkmnrddCEWwaKZ2ABHpUsl27IOjn6EElpX7Io=w408-h306-k-no,417,Kafe,"[""Kafe"", ""Kedai Kopi""]",4.5,"{""1"": 17, ""2"": 2, ""3"": 21, ""4"": 94, ""5"": 283}","{""latitude"": -7.613712199999999, ""longitude"": 110.8004043}",Not Present
1993,ChIJoRDnFpwldy4RxrgDVNVsXZI,Reunique cafe,"Jl. Dampo Awang No.3, Rembangan, Tasikagung, Kec. Rembang, Kabupaten Rembang, Jawa Tengah 59212",https://lh5.googleusercontent.com/p/AF1QipMJlPaPvUNCGrmyabnEMThW7u8pJrYYf1sSjxMs=w408-h725-k-no,396,Kafe,"[""Kafe""]",4.4,"{""1"": 11, ""2"": 9, ""3"": 38, ""4"": 92, ""5"": 246}","{""latitude"": -6.7049265, ""longitude"": 111.3368747}","[{""hour_of_day"": 19, ""average_popularity"": 64.71428571428571, ""time_label"": ""19.00""}, {""hour_of_day"": 18, ""average_popularity"": 61.57142857142857, ""time_label"": ""18.00""}, {""hour_of_day"": 20, ""average_popularity"": 59.714285714285715, ""time_label"": ""20.00""}]"
1994,ChIJ6faF8PwecS4RJsx8RguUm9A,The Gecho Inn Town,"Kabupaten Jl. AR. Hakim No.43, Kauman, Kec. Jepara, Kabupaten Jepara, Jawa Tengah 59417",https://lh5.googleusercontent.com/p/AF1QipPA4GsStGAlq_tlrX0enkY4ijlX8TX-JpsJAoQ8=w788-h240-k-no,393,Restoran,"[""Restoran"", ""Kafe"", ""Hotel""]",4.1,"{""1"": 17, ""2"": 10, ""3"": 61, ""4"": 116, ""5"": 189}","{""latitude"": -6.5926597, ""longitude"": 110.6605991}","[{""hour_of_day"": 21, ""average_popularity"": 61.285714285714285, ""time_label"": ""21.00""}, {""hour_of_day"": 20, ""average_popularity"": 59.0, ""time_label"": ""20.00""}, {""hour_of_day"": 19, ""average_popularity"": 57.0, ""time_label"": ""19.00""}]"
1995,ChIJy-Dy0D54ei4RffyXOoG3Sbs,Food Court Dipo 37,"Jl. Diponegoro No.37, Salatiga, Kec. Sidorejo, Kota Salatiga, Jawa Tengah 50711",https://lh5.googleusercontent.com/p/AF1QipOWpxl4hHgPRe5nu6BkM_tj4s1rN4_TYrMP9N9v=w408-h544-k-no,378,Restoran Cepat Saji,"[""Restoran Cepat Saji""]",4.3,"{""1"": 11, ""2"": 11, ""3"": 60, ""4"": 71, ""5"": 225}","{""latitude"": -7.3225557, ""longitude"": 110.5009899}","[{""hour_of_day"": 12, ""average_popularity"": 57.142857142857146, ""time_label"": ""12.00""}, {""hour_of_day"": 10, ""average_popularity"": 55.42857142857143, ""time_label"": ""10.00""}, {""hour_of_day"": 11, ""average_popularity"": 54.857142857142854, ""time_label"": ""11.00""}]"
1996,ChIJf9zOGsnBei4RZF2EYV_H85M,RUANG NGOPI,"Jl. Letjen S. Parman No.9, Bandung, Kutoarjo, Kec. Kutoarjo, Kabupaten Purworejo, Jawa Tengah 54212",https://lh5.googleusercontent.com/p/AF1QipO4u4gOUdBuisQ53Cf8Mvp8kkymLDat2mXUOR_B=w408-h272-k-no,365,Kedai Kopi,"[""Kedai Kopi""]",4.5,"{""1"": 10, ""2"": 3, ""3"": 25, ""4"": 74, ""5"": 253}","{""latitude"": -7.718846699999999, ""longitude"": 109.9177697}","[{""hour_of_day"": 20, ""average_popularity"": 84.57142857142857, ""time_label"": ""20.00""}, {""hour_of_day"": 21, ""average_popularity"": 80.14285714285714, ""time_label"": ""21.00""}, {""hour_of_day"": 19, ""average_popularity"": 78.28571428571429, ""time_label"": ""19.00""}]"
